Method,Samples,Duration_min,Max_request_rate,Avg_request_rate,Max_CPU_mCPU,Avg_CPU_mCPU,Max_replicas,Avg_replicas,Replica_minutes,Avg_response_ms,Max_avg_response_ms,Avg_p95_ms,Max_p95_ms,Max_failed_req_rate
HPA,76,12.101600433333335,455.9050294670582,197.2666334810131,492.16127385491416,191.10175034706256,5.0,3.6578947368421053,46.76061933333333,2.372206226759579,3.6513262062610514,6.093306632865575,9.22462734846384,0.0
Predictive,75,11.93844795,457.9659148719688,198.23993368114645,513.8684789209734,220.32370560924517,5.0,3.2,40.402202,2.0439885391677155,2.742975994429868,4.813377081370356,4.946052273346038,0.0
