timestamp,request_rate,vus,cpu_mcpu,memory_mib,replicas,hpa_desired_replicas,avg_response_ms,p95_response_ms,failed_req_rate
2026-08-28T21:38:55.144928,0.0,0.0,0.006323135351365341,43.9609375,1.0,1.0,0.0,0.0,0.0
2026-08-28T21:39:05.237072,0.0,0.0,0.007776012898731047,43.9609375,1.0,1.0,0.0,0.0,0.0
2026-08-28T21:39:14.685290,0.0,0.0,0.00270634035130835,43.9609375,1.0,1.0,0.0,0.0,0.0
2026-08-28T21:39:24.792209,0.0,0.0,0.002529967719920141,43.9609375,1.0,1.0,0.0,0.0,0.0
2026-08-28T21:39:34.889882,0.0,0.0,0.004544703352737167,43.9609375,1.0,1.0,0.0,0.0,0.0
2026-08-28T21:39:44.345797,0.0,2.0,0.004544703352737167,43.9609375,1.0,1.0,0.0,0.0,0.0
2026-08-28T21:39:54.447866,0.9124687531246877,5.0,5.539603446485029,43.99609375,1.0,1.0,2.160951470588237,7.818076115223034,0.0
2026-08-28T21:40:04.560164,1.9259233333333334,7.0,7.9936497552038945,43.765625,1.0,1.0,2.194908181956984,5.2692159516353545,0.0
2026-08-28T21:40:13.989118,3.275323856275994,9.0,7.817732450351725,43.765625,1.0,1.0,2.256887764290025,4.954827317789582,0.0
2026-08-28T21:40:24.069120,5.042609683132908,11.0,11.099176374227074,43.5078125,1.0,1.0,2.1589714637825113,4.880611868779948,0.0
2026-08-28T21:40:34.167798,7.0617247413833875,13.0,11.097441480673899,43.1796875,1.0,1.0,2.3112688338351504,4.866491847654465,0.0
2026-08-28T21:40:43.620156,9.517239006757173,15.0,14.117994405883845,43.23046875,1.0,1.0,2.253652719746913,4.862834483653556,0.0
2026-08-28T21:40:53.706225,12.376049646409673,18.0,8.572150000000534,43.23046875,1.0,1.0,2.192612966541467,4.898656556601424,0.0
2026-08-28T21:41:03.796585,14.587596490872622,20.0,14.539372193093492,44.734375,1.0,1.0,2.08564204166667,4.844192634560907,0.0
2026-08-28T21:41:13.227972,16.8788501026694,22.0,21.008144102712922,44.8125,1.0,1.0,2.1139203357664247,4.838289962825279,0.0
2026-08-28T21:41:23.322385,19.178644763860365,24.0,17.290396156104315,44.8125,1.0,1.0,2.092069835117774,4.817046688382193,0.0
2026-08-28T21:41:33.442485,21.15758754863813,26.0,23.962884008875637,44.8671875,1.0,1.0,2.0427634913793105,4.8145631067961165,0.0
2026-08-28T21:41:42.851786,23.32698309756394,28.0,25.329837168728677,44.87109375,1.0,1.0,2.016563526498695,4.787434325744308,0.0
2026-08-28T21:41:52.956142,25.927829752236043,31.0,25.98435848657612,44.87109375,1.0,1.0,2.0297491133121994,4.8032852564102555,0.0
2026-08-28T21:42:03.078579,27.834131299196628,33.0,18.918425000001097,45.1875,1.0,1.0,1.965678020408159,4.809594095940959,0.0
2026-08-28T21:42:13.181353,30.06512080822835,35.0,31.207400369763775,45.1796875,1.0,1.0,1.9208705954146976,4.811646174863387,0.0
2026-08-28T21:42:22.607611,32.66817527257766,37.0,23.75409635583269,45.1796875,1.0,1.0,1.9217181171284603,4.804458598726115,0.0
2026-08-28T21:42:32.716624,34.806220686250306,39.0,28.222603959117517,44.87890625,1.0,1.0,1.9180239089834508,4.79820895522388,0.0
2026-08-28T21:42:42.835473,36.9634420811452,46.0,38.33933544918677,44.79296875,1.0,1.0,2.0558341591657485,4.8160823594880355,0.0
2026-08-28T21:42:52.233930,41.44555514418528,54.0,32.797770915670526,44.79296875,1.0,1.0,2.1306399905753888,4.816901408450704,0.0
2026-08-28T21:43:02.339149,46.36238352839542,61.0,55.81366126390692,45.08984375,1.0,1.0,2.1287015210829825,4.809775280898877,0.0
2026-08-28T21:43:12.445939,51.82660905900728,69.0,57.73010113155483,44.87109375,1.0,1.0,2.128553775039107,4.8312773577397525,0.0
2026-08-28T21:43:21.863678,59.89920806335493,77.0,68.17162812278698,45.53515625,1.0,1.0,2.0642907748026014,4.8178098885793865,0.0
2026-08-28T21:43:31.977176,67.88028386300525,85.0,54.462124341660825,45.53515625,1.0,1.0,1.970461937878778,4.808282208588957,0.0
2026-08-28T21:43:42.096904,74.80179248534989,93.0,76.77098367864167,44.91015625,1.0,1.0,1.9472428203251964,4.802054794520547,0.0
2026-08-28T21:43:51.553618,82.66926212056696,100.0,60.78560552323636,44.91015625,2.0,2.0,2.109174732891833,4.837809143142643,0.0
2026-08-28T21:44:01.662358,91.78892861546048,108.0,80.1683230872715,72.67578125,2.0,2.0,2.10187000649351,4.82344247385175,0.0
2026-08-28T21:44:11.771123,98.45997973657548,116.0,100.03764928297997,73.1171875,2.0,2.0,2.0993719094277385,4.829531184596066,0.0
2026-08-28T21:44:21.162922,106.30407911001237,123.0,121.97490883262712,70.16796875,2.0,2.0,2.093362419367137,4.824491771539206,0.0
2026-08-28T21:44:31.293922,115.69296550589976,131.0,118.85601842115041,70.84765625,2.0,2.0,2.0928238765103093,4.828937861271675,0.0
2026-08-28T21:44:41.391734,123.71006865929367,139.0,140.3185160108989,80.2890625,2.0,2.0,2.0515466819541275,4.817239635995954,0.0
2026-08-28T21:44:51.514452,129.88619997160072,147.0,147.39625388541566,79.890625,2.0,2.0,2.098281552084913,4.833796884933249,0.0
2026-08-28T21:45:00.970062,139.71752225488785,155.0,157.3356465025314,80.38671875,2.0,2.0,2.082855222778047,4.837554323392777,0.0
2026-08-28T21:45:11.083914,147.73241231857241,163.0,169.0118298521404,81.01953125,2.0,2.0,2.1590662507997904,4.871291012838802,0.0
2026-08-28T21:45:21.190648,153.3660276415515,170.0,157.01095035295015,81.4609375,2.0,2.0,2.212689125528514,4.923034784990414,0.0
2026-08-28T21:45:30.627483,163.40406301994537,178.0,185.70030862645896,82.0078125,2.0,2.0,2.174750199874285,4.921366241208648,0.0
2026-08-28T21:45:40.756843,170.6961362282522,177.0,189.4588808392746,82.5,2.0,2.0,2.088414809386299,4.897940191090706,0.0
2026-08-28T21:45:50.873736,172.990392800681,173.0,186.758701306067,113.82421875,4.0,4.0,2.0625739031048855,4.890379975874548,0.0
